     0/499     1.58G   0.07928    0.1047   0.03141    0.2154       365      1376   0.02141   0.04441   0.00413 0.0008467    0.0972    0.4085   0.02978
     1/499     8.88G    0.0688    0.1121   0.02593    0.2069       360      1376    0.3486    0.0943   0.02513  0.007103   0.08443    0.4149   0.02872
     2/499     12.7G   0.06026    0.1154   0.02457    0.2002       339      1376    0.2793    0.1472   0.05617   0.01933   0.07521    0.4078   0.02717
     3/499     12.7G    0.0519    0.1169   0.02242    0.1913       419      1376    0.4241    0.1807   0.08621   0.03854   0.06833    0.3892   0.02663
     4/499     9.55G    0.0478     0.115   0.02016     0.183        51      1376    0.4025    0.2049    0.1241   0.05734   0.06429    0.3908   0.02704
     5/499     9.56G   0.04593    0.1136   0.01839    0.1779       297      1376    0.4156     0.233    0.1542   0.07227   0.06165    0.3869   0.02653
     6/499     9.56G    0.0444     0.112   0.01677    0.1732       139      1376    0.4141    0.2394    0.1704   0.08422   0.06055    0.3873   0.02684
     7/499     9.56G   0.04343    0.1087    0.0159     0.168       153      1376    0.3918    0.2546    0.1974   0.09621   0.05938    0.3873   0.02698
     8/499     9.56G   0.04273    0.1089   0.01502    0.1667       349      1376    0.4428    0.2521    0.2234    0.1105   0.05748    0.3876   0.02729
     9/499     9.56G   0.04214    0.1095   0.01434     0.166       115      1376    0.3344    0.3051    0.2513    0.1269   0.05642    0.3885   0.02673
    10/499     9.56G    0.0413     0.105   0.01377    0.1601       495      1376    0.3734    0.2978    0.2596    0.1322   0.05648    0.3899   0.02625
    11/499     9.56G   0.04106    0.1064   0.01327    0.1608       171      1376    0.3575    0.3192    0.2831    0.1465   0.05552    0.3792   0.02625
    12/499     9.73G   0.04053    0.1055   0.01296    0.1589       238      1376    0.4266    0.3096    0.2948    0.1553   0.05523    0.3746   0.02742
    13/499     9.73G    0.0402    0.1041   0.01271     0.157       204      1376    0.3985    0.3473    0.3096    0.1609   0.05461    0.3754   0.02556
    14/499     9.73G   0.03966    0.1035   0.01216    0.1553       400      1376    0.3952     0.358    0.3177    0.1642   0.05427    0.3749   0.02601
    15/499     12.1G   0.03949    0.1047   0.01207    0.1563       337      1376    0.4105    0.3691    0.3339    0.1776   0.05358    0.3722   0.02571
    16/499     12.1G   0.03913    0.1018   0.01171    0.1526       143      1376     0.402    0.3799    0.3357    0.1801   0.05322    0.3755   0.02596
    17/499     12.1G    0.0387    0.1024   0.01151    0.1526       189      1376    0.4423    0.3645    0.3406    0.1819   0.05302    0.3674    0.0262
    18/499     12.1G   0.03851    0.1011   0.01124    0.1508       220      1376    0.4373    0.3748    0.3446    0.1849   0.05302    0.3683   0.02557
    19/499     12.1G   0.03814    0.1023   0.01124    0.1516       163      1376    0.4322    0.4009    0.3613    0.1951    0.0524    0.3645   0.02607
    20/499     12.1G    0.0381    0.1006   0.01097    0.1497       257      1376    0.4168    0.4108    0.3651     0.198   0.05179    0.3752   0.02603
    21/499     12.1G   0.03781     0.101   0.01079    0.1496       380      1376    0.4773    0.3937    0.3741    0.2023    0.0515    0.3681   0.02583
    22/499     12.1G    0.0375   0.09818   0.01058    0.1463        65      1376    0.4577    0.4064    0.3767    0.2054   0.05088    0.3657   0.02584
    23/499     12.1G   0.03709   0.09866   0.01044    0.1462       158      1376    0.4711    0.4115     0.384     0.209   0.05071    0.3659   0.02598
    24/499     12.1G   0.03704   0.09995   0.01022    0.1472       324      1376    0.4827    0.4042    0.3881    0.2128   0.05023    0.3683   0.02656
    25/499     12.1G   0.03703   0.09971   0.01019    0.1469       310      1376    0.4944    0.4137    0.3987    0.2203   0.04975    0.3651   0.02652
    26/499     12.1G    0.0368    0.1005   0.01004    0.1473       299      1376    0.4662    0.4248    0.3971    0.2197   0.04925    0.3697   0.02616
    27/499     12.1G   0.03674   0.09939  0.009869     0.146        88      1376    0.4793    0.4252    0.4011    0.2214    0.0487    0.3694   0.02586
    28/499     12.1G   0.03648    0.0997  0.009761    0.1459       256      1376    0.4964    0.4215     0.408    0.2254   0.04832    0.3748   0.02647
